ds_cargo;nr_turno;sg_uf;qt_secoes_agregadas;qt_votos_brancos;qt_votos_nulos;qt_votos_validos;dt_carga
Conselheiro Distrital;1;PE;0;26;81;2192;2022-10-06 17:26:33
Deputado Distrital;1;DF;235;88490;47561;1660387;2022-10-06 17:26:33
Deputado Estadual;1;AC;156;9533;6402;435770;2022-10-06 17:26:33
Deputado Estadual;1;AL;194;71258;60909;1658145;2022-10-06 17:26:33
Deputado Estadual;1;AM;486;63514;75016;1968109;2022-10-06 17:26:33
Deputado Estadual;1;AP;97;6614;5505;424262;2022-10-06 17:26:33
Deputado Estadual;1;BA;2393;480573;439964;7937716;2022-10-06 17:26:33
Deputado Estadual;1;CE;2041;316083;208757;5054996;2022-10-06 17:26:33
Deputado Estadual;1;ES;381;140025;72862;2077274;2022-10-06 17:26:33
Deputado Estadual;1;GO;782;222916;139375;3354173;2022-10-06 17:26:33
Deputado Estadual;1;MA;3070;136366;78362;3691036;2022-10-06 17:26:33
Deputado Estadual;1;MG;2503;930918;624940;11048642;2022-10-06 17:26:33
Deputado Estadual;1;MS;237;85541;42733;1404566;2022-10-06 17:26:33
Deputado Estadual;1;MT;801;90177;51812;1728267;2022-10-06 17:26:33
Deputado Estadual;1;PA;1472;140167;90701;4538980;2022-10-06 17:26:33
Deputado Estadual;1;PB;134;166986;136003;2243514;2022-10-06 17:26:33
Deputado Estadual;1;PE;850;404543;313061;4977661;2022-10-06 17:26:33
Deputado Estadual;1;PI;1700;66558;75928;1970638;2022-10-06 17:26:33
Deputado Estadual;1;PR;154;487811;241933;6004833;2022-10-06 17:26:33
Deputado Estadual;1;RJ;2482;644435;602675;8491262;2022-10-06 17:26:33
Deputado Estadual;1;RN;331;101210;102356;1865045;2022-10-06 17:26:33
Deputado Estadual;1;RO;593;33866;19994;857334;2022-10-06 17:26:33
Deputado Estadual;1;RR;119;4171;3733;294745;2022-10-06 17:26:33
Deputado Estadual;1;RS;228;517974;187899;6146823;2022-10-06 17:26:33
Deputado Estadual;1;SC;562;289065;151453;4004036;2022-10-06 17:26:33
Deputado Estadual;1;SE;343;72433;73019;1216425;2022-10-06 17:26:33
Deputado Estadual;1;SP;555;2244465;1597902;23146458;2022-10-06 17:26:33
Deputado Estadual;1;TO;131;20263;30763;834317;2022-10-06 17:26:33
Deputado Federal;1;AC;156;11859;9181;434253;2022-10-06 17:26:33
Deputado Federal;1;AL;194;78592;68638;1650763;2022-10-06 17:26:33
Deputado Federal;1;AM;486;67701;49679;1976477;2022-10-06 17:26:33
Deputado Federal;1;AP;97;8801;9058;423017;2022-10-06 17:26:33
Deputado Federal;1;BA;2393;460447;436103;7958431;2022-10-06 17:26:33
Deputado Federal;1;CE;2041;295582;202288;5108239;2022-10-06 17:26:33
Deputado Federal;1;DF;235;114654;56923;1607519;2022-10-06 17:26:33
Deputado Federal;1;ES;381;145221;81471;2084430;2022-10-06 17:26:33
Deputado Federal;1;GO;782;219507;138178;3440515;2022-10-06 17:26:33
Deputado Federal;1;MA;3070;132888;73442;3706498;2022-10-06 17:26:33
Deputado Federal;1;MG;2503;843986;587956;11181098;2022-10-06 17:26:33
Deputado Federal;1;MS;237;94828;46513;1356862;2022-10-06 17:26:33
Deputado Federal;1;MT;801;99199;58809;1730277;2022-10-06 17:26:33
Deputado Federal;1;PA;1472;152467;95893;4521516;2022-10-06 17:26:33
Deputado Federal;1;PB;134;186115;145049;2190544;2022-10-06 17:26:33
