nm_regiao;sg_partido;ds_cargo;nr_turno;sg_uf;qt_votos_validos;dt_carga
CENTRO-OESTE;AGIR;Deputado Distrital;1;DF;41509675;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Estadual;1;GO;140875266;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Estadual;1;MS;15450226;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Estadual;1;MT;24195738;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Federal;1;DF;12860152;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Federal;1;GO;61929270;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Federal;1;MS;6784310;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Deputado Federal;1;MT;10381662;2022-10-07 14:15:10
CENTRO-OESTE;AGIR;Senador;1;MS;1360544;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Distrital;1;DF;41509675;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Estadual;1;GO;110687709;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Estadual;1;MS;15450226;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Federal;1;DF;14467671;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Federal;1;GO;61929270;2022-10-07 14:15:10
CENTRO-OESTE;AVANTE;Deputado Federal;1;MS;10854896;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Distrital;1;DF;26566192;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Estadual;1;GO;10062519;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Estadual;1;MS;2809132;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Estadual;1;MT;13826136;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Federal;1;DF;9645114;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Federal;1;GO;10321545;2022-10-07 14:15:10
CENTRO-OESTE;CIDADANIA;Deputado Federal;1;MT;3460554;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Distrital;1;DF;33207740;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Estadual;1;GO;103979363;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Estadual;1;MS;4213698;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Estadual;1;MT;20739204;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Federal;1;DF;14467671;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Federal;1;GO;30964635;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Federal;1;MS;4070586;2022-10-07 14:15:10
CENTRO-OESTE;DC;Deputado Federal;1;MT;13842216;2022-10-07 14:15:10
CENTRO-OESTE;DC;Governador;1;DF;1655043;2022-10-07 14:15:10
CENTRO-OESTE;DC;Presidente;1;DF;1762575;2022-10-07 14:15:10
CENTRO-OESTE;DC;Presidente;1;GO;3681469;2022-10-07 14:15:10
CENTRO-OESTE;DC;Presidente;1;MS;1506989;2022-10-07 14:15:10
CENTRO-OESTE;DC;Presidente;1;MT;1842888;2022-10-07 14:15:10
CENTRO-OESTE;DC;Senador;1;DF;1576967;2022-10-07 14:15:10
CENTRO-OESTE;DC;Senador;1;MT;1298767;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Distrital;1;DF;41509675;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Estadual;1;GO;110687709;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Estadual;1;MS;35114150;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Estadual;1;MT;31108806;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Federal;1;DF;12860152;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Federal;1;GO;41286180;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Federal;1;MS;12211758;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Deputado Federal;1;MT;15572493;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Governador;1;DF;1655043;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Governador;1;MS;1435550;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Presidente;1;DF;1762575;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Presidente;1;GO;3681469;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Presidente;1;MS;1506989;2022-10-07 14:15:10
CENTRO-OESTE;MDB;Presidente;1;MT;1842888;2022-10-07 14:15:10
