ds_cargo;nr_turno;sg_uf;nm_regiao;sg_partido;qt_votos_validos;dt_carga
Deputado Distrital;1;DF;CENTRO-OESTE;AGIR;110392;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;AVANTE;56851;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;CIDADANIA;43132;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;DC;3368;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;MDB;155718;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;NOVO;18995;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PATRIOTA;41417;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PC do B;3918;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PCO;209;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PDT;17625;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PL;221654;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PMB;5808;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PMN;75661;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PODE;29647;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PP;104862;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PROS;25705;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PRTB;14795;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSB;74974;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSC;36277;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSD;97242;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSDB;25728;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSOL;114051;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PSTU;342;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PT;137563;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PTB;18863;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;PV;24025;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;REDE;3988;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;REPUBLICANOS;95236;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;SOLIDARIEDADE;4054;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;UNIÃO;97097;2022-10-06 18:40:49
Deputado Distrital;1;DF;CENTRO-OESTE;UP;1190;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;AGIR;485;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;CIDADANIA;963;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;DC;563;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;MDB;39617;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PATRIOTA;10285;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PC do B;6447;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PDT;57680;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PL;44426;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PMN;138;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PODE;27462;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PP;45847;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PROS;16541;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PSB;19038;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PSD;35491;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PSDB;17828;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PSOL;2229;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PT;17971;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;PV;269;2022-10-06 18:40:49
Deputado Estadual;1;AC;NORTE;REDE;152;2022-10-06 18:40:49
